Timestamp,Mention your age.,How often do you have Maggi?,What's your quantity of consumption  at a time?,Which noodle brand would you prefer after Maggi?,Do you add other ingredients to your Maggi?,"If Yes, then which ingredients?",Do you consider Maggi noodles as your Go-To meal?  ,Did Lead controversy brought decline in your consumption pattern of Maggi?,Do you find nutritive value in Maggi?,Would you prefer a pack of quantity more than 1 pkt and less than 2 pkts i.e. the pack  costing Rs.15/- for a single meal?,Do you prefer buying Maggi Masala-ae-Magic with Maggi noodles? ,Would you want Maggi to increase its tastemaker size at the cost of increased price?  
2021/06/08 4:11:08 AM GMT+5:30,18-26,Less often,1 PKT,Yippee,Yes,"Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/08 5:31:14 AM GMT+5:30,18-26,Less often,1 PKT,Yippee,No,,No,"No, It's still the same",No,No,No,No
2021/06/08 6:13:28 AM GMT+5:30,18-26,Less often,2 PKTS,Ching's,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.)",No,"No, It's still the same",No,Yes,Yes,No
2021/06/08 7:02:35 AM GMT+5:30,Above 26,Once in two weeks,1 PKT,Yippee,Yes,"Spices(oregano, chili flakes, etc.)",No,"Yes, It did",No,Yes,Yes,Yes
2021/06/08 7:07:49 AM GMT+5:30,18-26,Once in a month,1 PKT,Ching's,No,,Yes,"No, It's still the same",No,Yes,No,Yes
2021/06/08 7:09:00 AM GMT+5:30,18-26,Once in a month,2 PKTS,Yippee,Yes,Veggies,Yes,"No, It's still the same",No,Yes,No,No
2021/06/08 7:14:57 AM GMT+5:30,18-26,More than once in a week,1 PKT,Other,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,Yes,No,Yes
2021/06/08 7:35:32 AM GMT+5:30,18-26,Less often,1 PKT,Other,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",No,"No, It's still the same",No,No,Yes,Yes
2021/06/08 12:25:33 PM GMT+5:30,18-26,Less often,2 PKTS,Yippee,No,,No,"Yes, It did",No,No,No,Yes
2021/06/08 3:43:20 PM GMT+5:30,18-26,More than once in a week,2 PKTS,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,Yes,Yes,Yes
2021/06/08 3:45:40 PM GMT+5:30,18-26,Less often,1 PKT,Other,No,,No,"Yes, It did",No,Yes,Yes,Yes
2021/06/08 3:48:48 PM GMT+5:30,18-26,Once in a week,2 PKTS,Yippee,Yes,"Spices(oregano, chili flakes, etc.)",No,"No, It's still the same",No,Yes,No,Yes
2021/06/08 4:22:01 PM GMT+5:30,18-26,Less often,1 PKT,Other,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",No,"Yes, It did",No,No,No,No
2021/06/08 4:38:54 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Yippee,Yes,"Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/08 5:16:32 PM GMT+5:30,15-18,Once in a week,1 PKT,Other,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,Yes,Yes,Yes
2021/06/08 5:29:04 PM GMT+5:30,18-26,Once in a month,1 PKT,Yippee,No,,Yes,"Yes, It did",No,Yes,No,Yes
2021/06/08 5:42:44 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Yippee,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/08 7:16:37 PM GMT+5:30,18-26,Once in a week,1 PKT,Other,Yes,"Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/08 7:44:40 PM GMT+5:30,18-26,Less often,1 PKT,Yippee,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/08 7:50:40 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,No,,No,"Yes, It did",No,Yes,No,Yes
2021/06/08 8:22:36 PM GMT+5:30,18-26,Once in a week,2 PKTS,Yippee,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.)",Yes,"Yes, It did",No,No,Yes,Yes
2021/06/08 8:35:57 PM GMT+5:30,18-26,Once in a month,1 PKT,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",Yes,Yes,Yes,Yes
